Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-01,2010,1,1,,-3.0,,-6.5,,-4.8,,22.8,,0.0,,0.0,,4.0,,4.0,,26.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-02,2010,1,2,,-8.0,,-14.5,,-11.3,,29.3,,0.0,,0.0,,10.0,,10.0,,27.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-03,2010,1,3,,-5.0,,-14.5,,-9.8,,27.8,,0.0,,0.0,,5.0,,5.0,,35.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-04,2010,1,4,,-7.0,,-10.0,,-8.5,,26.5,,0.0,,0.0,,0.0,T,0.0,T,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-05,2010,1,5,,-5.5,,-10.0,,-7.8,,25.8,,0.0,,0.0,,0.0,,0.0,,35.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-06,2010,1,6,,-5.0,,-8.0,,-6.5,,24.5,,0.0,,0.0,,0.0,,0.0,,35.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-07,2010,1,7,,-6.0,,-9.5,,-7.8,,25.8,,0.0,,,M,,M,,M,35.0,,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-08,2010,1,8,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-09,2010,1,9,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
-74.17,45.32,COTEAU DU LAC,7011947,2010-01-10,2010,1,10,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
