,Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
6749,BARRIERE STONEHAM,QUEBEC,7010478,5205,,,47.17,-71.25,471000000.0,-711500000.0,597.4,1963,1976,,,1963.0,1976.0,1963.0,1976.0
6750,BARRIERE TOURILLI,QUEBEC,7010480,5206,,,47.17,-71.62,471000000.0,-713700000.0,493.8,1949,1960,,,1949.0,1960.0,1949.0,1960.0
6751,BEAUPORT,QUEBEC,7010565,27803,71578.0,XBO,46.84,-71.2,465013000.0,-711150000.0,10.0,1999,2022,1999.0,2022.0,1999.0,2022.0,,
6752,BEAUPORT,QUEBEC,7010566,5207,,,46.88,-71.2,465300000.0,-711200000.0,84.1,1982,1985,,,1982.0,1985.0,1982.0,1985.0
6753,BERTHIERVILLE,QUEBEC,7010720,5208,,,46.05,-73.18,460300000.0,-731100000.0,12.2,1919,1995,,,1919.0,1995.0,1919.0,1995.0
6754,CAP DE LA MADELEINE,QUEBEC,7011045,5209,,,46.37,-72.53,462200000.0,-723200000.0,17.1,1920,1932,,,1920.0,1932.0,1920.0,1932.0
6755,CAP ROUGE,QUEBEC,7011170,5210,,,46.77,-71.3,464600000.0,-711800000.0,12.2,1911,1940,,,1911.0,1940.0,1911.0,1940.0
6756,CHAMPLAIN,QUEBEC,7011290,5211,,,46.47,-72.33,462800000.0,-722000000.0,12.0,1980,2011,,,1980.0,2011.0,1981.0,2011.0
6757,CHARLESBOURG JAR ZOO,QUEBEC,7011308,5212,,,46.9,-71.3,465400000.0,-711800000.0,152.4,1963,1977,,,1963.0,1977.0,1963.0,1977.0
6758,CHARLESBOURG PARC ORLEAN,QUEBEC,7011309,5213,,,46.87,-71.27,465200000.0,-711600000.0,114.3,1971,2007,,,1971.0,2007.0,1971.0,1997.0
6759,CHUTE PANET,QUEBEC,7011600,5214,,,46.87,-71.87,465200000.0,-715200000.0,152.4,1949,1982,,,1949.0,1982.0,1949.0,1982.0
6760,CLUB TOURILLI,QUEBEC,7011760,5215,,,47.03,-71.7,470200000.0,-714200000.0,265.2,1949,1951,,,1949.0,1951.0,1949.0,1951.0
6761,CLUB TOURILLI,QUEBEC,7011800,5216,,,47.08,-71.9,470500000.0,-715400000.0,249.9,1949,1953,,,1949.0,1953.0,1949.0,1953.0
6762,COTEAU DU LAC,QUEBEC,7011947,5217,,,45.32,-74.17,451900000.0,-741000000.0,49.4,1966,2022,,,1966.0,2022.0,1966.0,2018.0
6763,COURVILLE,QUEBEC,7011950,5218,,,46.87,-71.17,465200000.0,-711000000.0,76.2,1963,1964,,,1963.0,1964.0,1963.0,1964.0
6764,DEPOT JOBIN,QUEBEC,7011960,5219,,,47.23,-71.63,471400000.0,-713800000.0,688.8,1950,1959,,,1950.0,1959.0,1950.0,1959.0
6765,DESCHAMBAULT,QUEBEC,7011982,5220,,,46.67,-71.92,464000000.0,-715500000.0,15.2,1971,2022,,,1971.0,2022.0,1971.0,2018.0
6766,DESCHAMBAULT,QUEBEC,7011983,27325,71389.0,WHQ,46.69,-71.97,464127000.0,-715818000.0,61.0,1997,2022,1997.0,2022.0,1997.0,2022.0,,
6767,DOMAINE-DE-MAIZERETS,QUEBEC,7012040,6913,,,46.83,-71.22,465000000.0,-711300000.0,6.0,1991,1994,,,1991.0,1994.0,1991.0,1994.0
6768,DONNACONA,QUEBEC,7012070,5221,,,46.67,-71.75,464000000.0,-714500000.0,10.7,1918,1964,,,1918.0,1964.0,1918.0,1964.0
6769,DONNACONA 2,QUEBEC,7012071,5222,,,46.68,-71.73,464100000.0,-714400000.0,45.7,1952,2008,,,1952.0,2008.0,1953.0,2008.0
6770,DUBERGER,QUEBEC,7012232,5223,,,46.82,-71.3,464900000.0,-711800000.0,15.2,1971,1993,,,1971.0,1993.0,1971.0,1993.0
6771,DUCHESNAY,QUEBEC,7012240,5224,,,46.87,-71.65,465200000.0,-713900000.0,166.1,1963,1994,,,1963.0,1994.0,1963.0,1994.0
6772,HEROUXVILLE,QUEBEC,7013100,5225,,,46.67,-72.6,464000000.0,-723600000.0,145.0,1966,2021,,,1966.0,2021.0,1966.0,2018.0
6773,HERVEY JONCTION,QUEBEC,7013102,5226,,,46.85,-72.47,465100000.0,-722800000.0,177.4,1926,1978,,,1926.0,1978.0,1926.0,1978.0
6774,HUDSON HEIGHTS,QUEBEC,7013200,5227,,,45.47,-74.17,452800000.0,-741000000.0,26.8,1952,1955,,,1952.0,1955.0,1952.0,1955.0
6775,ILE BOUCHARD,QUEBEC,7013279,5228,,,45.82,-73.35,454900000.0,-732100000.0,9.1,1974,1975,,,1974.0,1975.0,,
6776,ILE D'ORLEANS,QUEBEC,70132G9,8989,71424.0,WER,47.0,-70.81,465948000.0,-704830000.0,3.6,1992,2022,1994.0,2022.0,1992.0,2022.0,,
6777,JOLIETTE,QUEBEC,7013360,5229,,,46.03,-73.43,460200000.0,-732600000.0,58.5,1913,1972,,,1913.0,1972.0,1913.0,1972.0
6778,JOLIETTE VILLE,QUEBEC,7013362,5230,,,46.02,-73.43,460100000.0,-732600000.0,56.0,1967,2011,,,1967.0,2011.0,1967.0,2011.0
6779,LAC BROWN,QUEBEC,7013570,5231,,,46.92,-73.17,465500000.0,-731000000.0,365.8,1973,1977,,,1973.0,1977.0,1973.0,1977.0
6780,LAC EDOUARD,QUEBEC,7013640,5232,,,47.65,-72.27,473900000.0,-721600000.0,369.7,1949,1958,,,1949.0,1958.0,1949.0,1958.0
6781,LAC EDOUARD S,QUEBEC,7013642,5233,,,47.67,-72.27,474000000.0,-721600000.0,364.2,1973,1975,,,1973.0,1975.0,1973.0,1975.0
6782,LAC JACQUES CARTIER,QUEBEC,7013655,5234,,,47.57,-71.23,473400000.0,-711400000.0,798.6,1963,1974,,,1963.0,1974.0,1963.0,1974.0
6783,LAC MINOGAMI,QUEBEC,7013678,5235,,,46.67,-72.87,464000000.0,-725200000.0,259.1,1964,1978,,,1964.0,1978.0,1964.0,1978.0
6784,LAKE EDWARD,QUEBEC,7013735,5236,,,47.65,-72.25,473900000.0,-721500000.0,406.3,1910,1925,,,1910.0,1925.0,1910.0,1925.0
6785,L'ASSOMPTION,QUEBEC,7014160,5237,71524.0,WEW,45.81,-73.43,454834000.0,-732605000.0,21.0,1930,2022,1994.0,2022.0,1930.0,2022.0,1930.0,1994.0
6786,LAVALTRIE CDA,QUEBEC,7014260,5238,,,45.93,-73.32,455600000.0,-731900000.0,30.5,1957,1982,,,1957.0,1982.0,1957.0,1982.0
6787,LES CEDRES,QUEBEC,7014290,5239,,,45.3,-74.05,451800000.0,-740300000.0,47.2,1913,2022,,,1913.0,2022.0,1913.0,2018.0
6788,LES SAULES,QUEBEC,7014298,5240,,,46.82,-71.32,464900000.0,-711900000.0,25.9,1973,1973,,,1973.0,1973.0,1973.0,1973.0
6789,LINTON,QUEBEC,7014325,5241,,,47.27,-72.25,471600000.0,-721500000.0,270.4,1949,1955,,,1949.0,1955.0,1949.0,1955.0
6790,LORETTEVILLE,QUEBEC,7014329,5242,,,46.87,-71.37,465200000.0,-712200000.0,129.5,1977,1982,,,1977.0,1982.0,1977.0,1982.0
6791,LOUISEVILLE,QUEBEC,7014332,5243,,,46.27,-73.02,461600000.0,-730100000.0,45.0,1967,2022,,,1967.0,2022.0,1967.0,2018.0
6792,MASCOUCHE,QUEBEC,7014629,5244,,,45.75,-73.6,454500000.0,-733600000.0,15.2,1973,2006,,,1973.0,2006.0,1973.0,2006.0
6793,MASKINONGE,QUEBEC,7014630,5245,,,46.23,-73.02,461400000.0,-730100000.0,15.2,1957,1973,,,1957.0,1973.0,1957.0,1973.0
